LGA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
LGA34580,29,17,154,135,65,343,26,278,16,1064,97,107,299,199,138,165,78,402,16,1516,341,378,508,260,285,176,285,685,46,2962,394,460,509,329,400,205,347,435,51,3129,528,477,484,397,504,253,438,546,49,3678,387,325,336,293,332,145,346,418,30,2615,176,74,66,49,83,41,92,76,20,678,44,10,3,3,7,5,7,12,7,105,0,0,0,0,3,0,3,0,3,11,2010,1855,2366,1668,1813,1338,1615,2855,245,15762
LGA34590,126,141,1141,1088,455,2765,411,1716,148,7988,595,1082,2711,1783,1540,2039,1253,2153,237,13396,2418,4629,5523,3038,4337,2312,3097,3597,535,29499,3386,4862,4795,3117,4683,2005,3207,3277,582,29919,3117,3727,4066,3000,4759,1949,3537,3354,499,27993,2001,2414,2786,1919,3276,1430,2503,2384,293,19010,454,525,472,326,641,321,561,475,87,3868,32,38,30,19,44,25,16,39,23,260,3,3,3,3,0,0,0,0,10,28,12127,17417,21527,14291,19730,12840,14597,17001,2417,131955
LGA34710,0,0,34,30,17,42,0,19,3,149,6,35,36,24,19,23,10,27,0,168,44,76,65,42,40,16,18,44,5,344,57,67,30,44,55,20,23,37,5,338,103,60,40,34,55,24,31,48,11,411,102,56,37,25,47,31,27,54,4,385,35,9,11,4,14,4,10,17,7,109,18,0,3,0,0,0,0,0,3,25,4,0,0,0,0,0,0,0,0,3,370,305,254,206,244,155,122,251,41,1938
LGA34770,44,66,569,448,167,1166,96,629,43,3233,158,495,1272,558,448,607,350,554,66,4512,817,2002,2871,943,1262,733,1275,956,160,11025,1283,1810,2369,948,1436,756,1454,987,197,11233,1560,1763,2029,1001,1734,865,1990,1226,203,12384,1144,1180,1206,646,1105,632,1397,963,140,8410,390,203,190,104,162,102,219,231,56,1665,110,14,10,4,12,12,11,27,27,237,7,3,3,0,7,3,0,0,11,27,5523,7538,10525,4659,6338,4875,6802,5563,894,52732
LGA34800,0,0,3,3,3,0,0,6,0,12,0,7,7,3,3,3,0,16,0,42,25,12,16,4,13,3,6,24,3,107,41,4,13,6,7,3,11,14,0,110,29,6,15,8,12,0,14,11,4,95,36,3,3,7,4,3,14,15,3,88,18,0,0,0,0,4,0,4,0,32,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,158,43,53,25,39,17,55,87,12,490
LGA34830,0,0,0,0,0,0,0,0,0,4,0,5,0,3,0,0,0,0,0,10,3,3,3,3,3,0,3,0,0,12,0,3,0,0,5,0,0,0,0,13,0,0,3,0,3,0,0,3,0,16,5,3,3,0,3,0,4,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,10,8,14,4,4,7,0,82
LGA34860,6,7,76,43,28,88,13,88,3,354,29,62,119,64,60,58,33,115,10,554,203,286,265,123,171,91,136,138,9,1421,264,175,145,107,186,80,112,152,15,1235,373,144,127,117,167,72,154,154,13,1319,301,109,97,74,112,40,104,137,22,997,179,22,19,16,30,20,24,39,7,355,84,0,3,0,4,3,3,4,5,107,16,0,0,0,0,0,0,0,0,20,1452,794,841,541,762,454,587,823,93,6356
LGA34880,9,6,70,75,19,163,13,110,9,474,53,36,108,65,44,61,25,160,4,556,162,193,230,161,119,66,82,281,17,1304,270,251,239,224,214,100,99,209,28,1636,360,292,270,260,304,148,174,251,44,2106,323,247,185,186,187,105,148,223,21,1641,148,57,33,23,41,43,35,73,15,475,47,8,3,8,8,4,3,9,3,83,5,0,0,0,0,0,0,0,0,8,1374,1097,1136,1010,935,693,578,1321,146,8284
LGA35010,191,246,1555,2075,723,4543,382,2601,235,12537,918,1480,3631,3058,2097,2799,991,2559,316,17835,3600,6498,7232,4505,5577,2998,2642,3910,621,37579,5667,9140,6788,4859,6920,2962,3012,3649,730,43727,6041,7899,5853,4951,7736,3278,3439,4040,657,43897,3271,4847,3576,3088,4896,2192,2576,2962,346,27753,736,972,602,475,947,579,533,658,148,5648,70,75,43,27,51,42,24,52,63,443,4,8,9,6,10,0,4,0,18,58,20505,31158,29278,23030,28947,19409,13599,20435,3131,189495
LGA35250,0,0,3,4,0,3,0,5,3,19,0,6,6,10,3,0,0,6,0,29,5,20,12,25,3,3,3,5,0,81,10,5,7,20,6,0,4,10,3,68,3,12,3,17,8,3,4,8,0,60,5,11,3,12,3,0,3,3,0,35,0,3,6,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,56,45,87,27,16,14,42,5,314
LGA35300,3,3,90,56,38,176,17,108,7,509,27,157,242,119,92,93,106,106,11,952,166,531,631,235,228,127,411,153,40,2526,173,312,443,184,229,97,312,143,39,1920,198,267,367,190,219,85,336,154,45,1855,113,129,213,73,123,63,203,132,21,1062,29,30,30,25,33,13,49,33,4,246,4,0,4,0,3,0,3,10,0,24,0,0,0,0,0,0,0,0,0,0,708,1439,2026,882,958,651,1437,836,170,9108
LGA35600,0,3,15,17,3,33,0,36,0,112,3,34,25,25,10,22,5,60,3,187,50,86,52,43,41,14,26,90,9,403,93,50,45,42,50,19,25,65,3,391,113,49,52,48,49,23,22,71,11,435,102,49,40,42,41,25,37,62,4,398,35,4,9,6,8,5,11,19,7,99,12,0,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,402,280,241,218,201,143,123,406,33,2046
LGA35670,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,7,0,23,0,5,11,3,0,4,6,3,0,40,4,4,4,8,0,0,11,3,0,38,3,5,6,9,3,0,7,4,0,38,0,0,5,0,3,0,3,3,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20,32,22,10,3,35,22,4,153
