Application ID,Program Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS200990,Business Basics Round 2,Stanthorpe Plants & Aquatics,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS200991,Business Basics Round 2,Resilient Projects Pty Ltd,THURINGOWA,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS200992,Business Basics Round 2,Wells Adventure Travel T/A Adventure Cairns and Beyond,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS200993,Business Basics Round 2,Tan Lines distilling PTY LTD,TOWNSVILLE,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS200994,Business Basics Round 2,debella body and beauty,WHITSUNDAY,MACKAY REGIONAL,Website build/upgrades,5000
BBAS200996,Business Basics Round 2,Gladstone Women's Health Centre,GLADSTONE,GLADSTONE REGIONAL,Professional business advice,5000
BBAS200997,Business Basics Round 2,Salubrity Pty Ltd t/as Cairns Real Estate Solutions,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS200998,Business Basics Round 2,PA Green T/A Honey House,BARRON RIVER,MAREEBA SHIRE,Website build/upgrades,5000
BBAS200999,Business Basics Round 2,Pryce Centre for Culture & Arts Pty Ltd,CAIRNS,CAIRNS REGIONAL,Professional business advice,5000
BBAS201001,Business Basics Round 2,Cucina Abruzzese,CAIRNS,CAIRNS REGIONAL,Strategic marketing services,5000
BBAS201002,Business Basics Round 2,The Trustee for The Diamondvale Trust,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS201004,Business Basics Round 2,Different Drum Wine,SOUTHERN DOWNS,SOUTHERN DOWNS REGIONAL,Website build/upgrades,5000
BBAS201008,Business Basics Round 2,Industry Barbershop,TOWNSVILLE,TOWNSVILLE CITY,Training and coaching,5000
BBAS201009,Business Basics Round 2,Negative Space 3D,THURINGOWA,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201015,Business Basics Round 2,Alberts Est 2017,HILL,CASSOWARY COAST REGIONAL,Professional business advice,5000
BBAS201019,Business Basics Round 2,Matson and Ridley Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201021,Business Basics Round 2,HM Financial Partners,SOUTHERN DOWNS,GOONDIWINDI REGIONAL,Website build/upgrades,5000
BBAS201023,Business Basics Round 2,Frontrow Foto,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201027,Business Basics Round 2,Emergent Health Pty Ltd,COOK,MAREEBA SHIRE,Professional business advice,5000
BBAS201028,Business Basics Round 2,The Temple Cape York,COOK,COOK SHIRE,Strategic marketing services,5000
BBAS201030,Business Basics Round 2,IJB Pest & Property Maintenance,MULGRAVE,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201031,Business Basics Round 2,Prime Technology Services,HILL,TABLELANDS REGIONAL,Website build/upgrades,5000
BBAS201032,Business Basics Round 2,Magman Publishing Pty Limited,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201035,Business Basics Round 2,BZC Civil Construction Services,CAIRNS,CAIRNS REGIONAL,Professional business advice,5000
BBAS201040,Business Basics Round 2,Conflict Solutions Pty Ltd,HINCHINBROOK,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS201041,Business Basics Round 2,64 Contracting Pty Ltd,WHITSUNDAY,WHITSUNDAY REGIONAL,Training and coaching,5000
BBAS201044,Business Basics Round 2,Record Printing,ROCKHAMPTON,ROCKHAMPTON REGIONAL,Website build/upgrades,5000
BBAS201046,Business Basics Round 2,John Carr,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS201047,Business Basics Round 2,Jennifer Ann Cooper Smith,TOWNSVILLE,TOWNSVILLE CITY,Training and coaching,5000
BBAS201051,Business Basics Round 2,Connect Sport Australia Pty Ltd,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201052,Business Basics Round 2,D&J Branthwaite family Trust T/A Gladstone Region Tours,GLADSTONE,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS201056,Business Basics Round 2,LDS Technology Solutions,CALLIDE,NORTH BURNETT REGIONAL,Training and coaching,5000
BBAS201057,Business Basics Round 2,VG Steel (ACN 124544083 Pty Ltd trading as VG Steel),TOWNSVILLE,PALM ISLAND SHIRE,Website build/upgrades,5000
BBAS201059,Business Basics Round 2,DONAGH ELIZABETH ARCHER,GYMPIE,GYMPIE REGIONAL,Website build/upgrades,5000
BBAS201061,Business Basics Round 2,Jungle Tactical PTY,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201063,Business Basics Round 2,One Blood Hidden Image Entertainment Group,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201064,Business Basics Round 2,Eclipse Financial Service - SEQ Pty Ltd,WHITSUNDAY,WHITSUNDAY REGIONAL,Website build/upgrades,5000
BBAS201066,Business Basics Round 2,Brown Dog Constructions Pty Ltd,HINCHINBROOK,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201075,Business Basics Round 2,Weather Oz,HINCHINBROOK,TOWNSVILLE CITY,Website build/upgrades,5000
BBAS201076,Business Basics Round 2,BINGIL BAY DISTILLERY PTY LTD,HILL,CASSOWARY COAST REGIONAL,Website build/upgrades,5000
BBAS201077,Business Basics Round 2,Queensland Coastal Charters Pty Ltd - T/a Partyincairns.com,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201082,Business Basics Round 2,Rosemary Anne Alexander,TOWNSVILLE,TOWNSVILLE CITY,Strategic marketing services,5000
BBAS201083,Business Basics Round 2,You Study Pty Ltd,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201088,Business Basics Round 2,Little Windmills Inc.,BURNETT,GLADSTONE REGIONAL,Website build/upgrades,5000
BBAS201090,Business Basics Round 2,Elements Group Pty Ltd T/A Mifire & Safety,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201091,Business Basics Round 2,Ben Circosta,BARRON RIVER,CAIRNS REGIONAL,Training and coaching,5000
BBAS201093,Business Basics Round 2,Thomas John Valentine Coggan,WARREGO,WESTERN DOWNS REGIONAL,Training and coaching,5000
BBAS201094,Business Basics Round 2,Emily Krunes Pty Ltd,HINCHINBROOK,CASSOWARY COAST REGIONAL,Strategic marketing services,5000
BBAS201096,Business Basics Round 2,Premium Property Specialists,BARRON RIVER,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201098,Business Basics Round 2,SKT Windscreen and Auto Glass,CAIRNS,CAIRNS REGIONAL,Website build/upgrades,5000
BBAS201100,Business Basics Round 2,The Crackup Sisters Pty Ltd,GREGORY,WINTON SHIRE,Business continuity and succession,5000
BBAS201102,Business Basics Round 2,Hannah Belle Read,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
