Application ID,Project Round,Business Name,State Electorate 2017,Local Gov Area,Priority Area,Grant Funding Amount
BBAS104192,Business Basics Round 1,Slinkylinks,WHITSUNDAY,WHITSUNDAY REGIONAL,Training and coaching,5000
BBAS104194,Business Basics Round 1,Verve Lead Ltd,MUDGEERABA,GOLD COAST CITY,Training and coaching,5000
BBAS104195,Business Basics Round 1,The Mind Body Connection,PUMICESTONE,MORETON BAY REGIONAL,Strategic marketing services,5000
BBAS104199,Business Basics Round 1,Ozmeters Pty Ltd t/a Fair Water Meters,GAVEN,GOLD COAST CITY,Website build/upgrades,5000
BBAS104207,Business Basics Round 1,Robert Croft Architects Pty Ltd,SOUTH BRISBANE,BRISBANE CITY,Website build/upgrades,5000
BBAS104214,Business Basics Round 1,TSA Business Trust,CHATSWORTH,BRISBANE CITY,Website build/upgrades,5000
BBAS104215,Business Basics Round 1,Scaleup Marketing,OODGEROO,REDLAND CITY,Training and coaching,5000
BBAS104221,Business Basics Round 1,TenderWise,MERMAID BEACH,GOLD COAST CITY,Strategic marketing services,5000
BBAS104233,Business Basics Round 1,Ozzy Educational Toys Pty Ltd,PUMICESTONE,MORETON BAY REGIONAL,Website build/upgrades,5000
BBAS104236,Business Basics Round 1,Sonya Jacobsen tas Your Bookkeeping Angel,PINE RIVERS,MORETON BAY REGIONAL,Training and coaching,5000
BBAS104239,Business Basics Round 1,chi kin LEE,STRETTON,BRISBANE CITY,Website build/upgrades,5000
BBAS104240,Business Basics Round 1,Tailored Queensland,CURRUMBIN,GOLD COAST CITY,Strategic marketing services,5000
BBAS104246,Business Basics Round 1,Exterm Pest Management,BROADWATER,GOLD COAST CITY,Website build/upgrades,5000
BBAS104256,Business Basics Round 1,Brighten Accountants,NINDERRY,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS104257,Business Basics Round 1,Dreamlife Deluze PTY LTD,EVERTON,BRISBANE CITY,Website build/upgrades,5000
BBAS104264,Business Basics Round 1,Trustee for La-Abadiano Family Trust,STRETTON,BRISBANE CITY,Strategic marketing services,5000
BBAS104270,Business Basics Round 1,SUBLTE ENERGY SOLUTION GROUP PTY LTD,ASPLEY,BRISBANE CITY,Website build/upgrades,5000
BBAS104283,Business Basics Round 1,Ann Keidge trading as iGenerate Marketing,GLASS HOUSE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS104285,Business Basics Round 1,Aesthetically you rejuvenation clinic,MERMAID BEACH,GOLD COAST CITY,Website build/upgrades,5000
BBAS104294,Business Basics Round 1,Storm Custom Worx Metal Fabrication Pty Ltd,SANDGATE,BRISBANE CITY,Business continuity and succession,5000
BBAS104301,Business Basics Round 1,NISSI INTERNATIONAL PTY LTD,GYMPIE,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS104304,Business Basics Round 1,Dave's Dried Meats,HERVEY BAY,FRASER COAST REGIONAL,Website build/upgrades,5000
BBAS104311,Business Basics Round 1,Legendaddy,GAVEN,GOLD COAST CITY,Strategic marketing services,5000
BBAS104314,Business Basics Round 1,Trustee for Oliver Family Trust TA Island Travel Specialists Pty Ltd,BROADWATER,GOLD COAST CITY,Strategic marketing services,5000
BBAS104318,Business Basics Round 1,VIE Marketing,COOPER,BRISBANE CITY,Strategic marketing services,5000
BBAS104329,Business Basics Round 1,i-Lashes Eyelash Extensions,MCCONNEL,BRISBANE CITY,Strategic marketing services,5000
BBAS104331,Business Basics Round 1,Melanie Eva Bruce,CURRUMBIN,GOLD COAST CITY,Training and coaching,5000
BBAS104338,Business Basics Round 1,SMSF & ESTATE PLANNING SOLUTIONS PTY LTD,CAIRNS,CAIRNS REGIONAL,Training and coaching,5000
BBAS104340,Business Basics Round 1,Eriksson Engineering Solutions,MERMAID BEACH,GOLD COAST CITY,Training and coaching,5000
BBAS104351,Business Basics Round 1,Business Scene Investigation,NUDGEE,BRISBANE CITY,Training and coaching,5000
BBAS104352,Business Basics Round 1,Let's Talk Events,BUDERIM,SUNSHINE COAST REGIONAL,Training and coaching,5000
BBAS104359,Business Basics Round 1,ANANAS PARTY PTY. LTD.,NUDGEE,BRISBANE CITY,Strategic marketing services,5000
BBAS104373,Business Basics Round 1,Henderson Services Pty Ltd,BURLEIGH,GOLD COAST CITY,Website build/upgrades,5000
BBAS104374,Business Basics Round 1,Proformance Projects,COOMERA,GOLD COAST CITY,Professional business advice,5000
BBAS104375,Business Basics Round 1,Quince and Mulberry Studios,MCCONNEL,BRISBANE CITY,Website build/upgrades,5000
BBAS104407,Business Basics Round 1,The Trustee for Xiao Li's Home Family Trust,SOUTH BRISBANE,BRISBANE CITY,Professional business advice,5000
BBAS104408,Business Basics Round 1,The Trustee for Macstructure Trust,CURRUMBIN,GOLD COAST CITY,Professional business advice,5000
BBAS104419,Business Basics Round 1,Jayness Swim Trust,WATERFORD,LOGAN CITY,Strategic marketing services,5000
BBAS104429,Business Basics Round 1,FORSETI RESOURCES PTY LTD,MOGGILL,BRISBANE CITY,Website build/upgrades,5000
BBAS104432,Business Basics Round 1,Marvel Minds PTY LTD,MERMAID BEACH,GOLD COAST CITY,Strategic marketing services,5000
BBAS104435,Business Basics Round 1,H&G Designs PTY LTD,MAROOCHYDORE,SUNSHINE COAST REGIONAL,Website build/upgrades,5000
BBAS104441,Business Basics Round 1,The Womens Health House,MUDGEERABA,GOLD COAST CITY,Training and coaching,5000
BBAS104454,Business Basics Round 1,Lifestyle Steel,PINE RIVERS,MORETON BAY REGIONAL,Website build/upgrades,5000
