Funding agency,Program title,Sub-program title,Purpose,Category1,Category2,Category3,Applicant type1,Applicant type2,Applicant type3,Client group1,Client group2,Client group3,Client group4,Client group5,Client group6,Business specific activity1,Business specific activity2,Business specific activity3,Business specific activity4,Business specific activity5,Assistance type1,Assistance type2,Assistance type3,Status,Opening date (date format),Closing date (date format),Opening date (text),Closing date (text),Financial year budget,Additional budget information,Website,Maximum (indicative) grant amount (dollar amount),Maximum (indicative) grant amount (text),Eligibility,How will I know if I'm successful?,Service ID,Category,Client Group,Application Type,Funding
DESBT,State Contribution Grants - Public Providers,,Subsidises public providers for costs incurred in areas of competitive disadvantage in comparison to private VET providers.,Education and training,,,Predetermined recipient/s,,,Government,,,,,,,,,,,Grant,,,Open,,,,,201366500,,https://desbt.qld.gov.au/,,,"Only available for public providers, TAFE Qld, CQU, Aviation Aust, Aboriginal Centre for Preforming Arts.",,61022,,,,
DESBT,TAFE Priority Skills Fund,,"Provides additional support to eligible Queensland residents in a specific range of diploma, certificate IV and certificate III programs. This funding is available to eligible students to commence study in applicable programs.",Education and training,,,Predetermined recipient/s,,,Students,Individuals,,,,,,,,,,Grant,,,Closed,,,,,16200000,,https://tafeqld.edu.au/study-with-us/what-it-costs/tafe-priority-training-program-courses.html,,,Program is only delivered by TAFE Queensland.,,61023,,,,
DESBT,Trade Skills Assessment and Gap Training,,The Trade Skills Assessment and Gap Training Program aims to assess the skills of experienced individuals who can demonstrate substantial competency in a priority trade qualification and provide gap training of no more than one-third of the competencies to complete the trade qualification.,Education and training,Employment and jobs,,Individual seeking grant or assistance,,,Employees,Jobseekers,,,,,,,,,,Grant,,,Open,,,,,5000000,,https://desbt.qld.gov.au/training/providers/funded/tradegap,,,Program is published on the departments website,,61024,,,,
DESBT,Travel and Accommodation Subsidy,,To provide a travel and accommodation subsidy for apprentices and trainees who are required to travel at least 100 kms return to attend training in relation to their apprenticeship or traineeship.,Education and training,Employment and jobs,,Individual seeking grant or assistance,,,Students,Employees,Employers,Businesses,,,,,,,,Concession,Grant,,Open,,,,,2110200,,https://desbt.qld.gov.au/training/apprentices/incentives/travel-accommodation,,,"Apprentices and trainees registered in Queensland who have to travel at least 100 km return to attend off-the-job training away from their usual place of employment may be eligible to claim subsidies. Apprentices and trainees must attend their closest training organisation able to deliver training in the relevant qualification, in order to be eligible for a subsidy.",,61025,,,,
DESBT,User Choice,,This program provides public funding directly to pre-qualified suppliers (PQS) for the delivery of accredited entry-level training to apprentices and trainees.,Education and training,Employment and jobs,,"Business, startup or entrepreneur",Individual seeking grant or assistance,,Employees,Employers,,,,,,,,,,Concession,Grant,,Open,,,,,192780000,,https://desbt.qld.gov.au/training/docs-data/strategies/vetinvest,,,"Employers and their apprentices and trainees can elect to do their training with their preferred RTO from a list of PQS. To view the list of PQS available to deliver training for each funded apprenticeship or traineeship, search the Queensland Training Information Service (QTIS). There is certain eligibility criteria that all parties are required to meet when employing an apprentice or trainee. This includes the requirement that the employer is willing to provide the workplace arrangements to support apprentices and trainees.",,61026,,,,
DESBT,VET in Schools,,"Funding provided to QCEC, EQ and Independent Schools Association to facilitate the development and delivery of activity that increases opportunities for secondary schools students to participate in vocational education and training. (Education Queensland has been included from the FY grant value).",Education and training,,,Predetermined recipient/s,,,Students,,,,,,,,,,,Grant,,,Closed,,,,,5239300,,https://desbt.qld.gov.au/training/providers/funded/vetis,,,"Only available to Education Queensland, Catholic Education and Independent Schools.",,61027,,,,
DESBT,World Skills,,"Queensland World Skills, World Skills Australia and Try a Trade.",Education and training,,,Predetermined recipient/s,,,Students,Employees,,,,,,,,,,Grant,,,Open,,,,,500000,,https://desbt.qld.gov.au/,,,Grant paid to SkillsTech to run the Queensland World Skills program and Try a Trade. Not published on the departmental website.,,61028,,,,
DESBT,Small Business Disaster Recovery Grants Program,,"Small Business Disaster Recovery Grants provide assistance to small businesses severely impacted by the North and Far North Queensland monsoonal trough to engage high-level expertise to help them recover and rebuild business confidence. Funding for building, plant and equipment repairs is available in specific circumstances.",Business and industry,,,"Business, startup or entrepreneur",,,Businesses,,,,,,Grow your business,,,,,Grant,,,Closed,10/06/2019,10/06/2021,,This grant will remain open for up to 2 years or when funds have been fully exhausted,1766148,"$3,000,000 over 2 years",https://www.business.qld.gov.au/starting-business/advice-support/grants/disaster-recovery,10000,,Eligibility criteria applies - please refer to guidelines,You will be notified by email as to the outcome of your application.,61029,,,,
DESBT,North Stradbroke Island Workers Assistance Scheme,,"To assist affected workers find alternative employment and support the ongoing economic viability of the North Stradbroke Island community. Funding is available for a range of assistance measures including training, job search support, access to financial advice, housing assistance, small business mentoring and employer wage subsidy.",Employment and jobs,,,Individual seeking grant or assistance,,,Employees,Businesses,Employers,,,,,,,,,Grant,,,Open,,,,,1487858,,https://desbt.qld.gov.au/employment/transition-programs/north-stradbroke-assistance,,,Available for current and former Sibelco workers employed as at 26 May 2016 at the company's operations on North Stradbroke Island (including the Pinkeba processing plant) made redundant as a result of the cessation of sand mining on North Stradbroke Island.,,61030,,,,
DESBT,Qld Social Enterprise Council,,"To provide funding totalling $275,000 to the Queensland Social Enterprise Council for bursaries, and to manage sectoral interests as a peak.",Employment and jobs,,,Predetermined recipient/s,,,Businesses,,,,,,Networking opportunities,,,,,Grant,,,Closed,,,,,55000,"$275,000 over 3 years",https://desbt.qld.gov.au/,,,,,61031,,,,
DESBT,Social Enterprise Grants Program,,"Funding of between $5,000 and $50,000 (excluding GST) may be provided to eligible social enterprises to engage business consultants, mentors, or digital experts to assist them to establish and grow their business and to grow their mission.",Business and industry,Employment and jobs,,"Business, startup or entrepreneur",Community group/not for profit,,Businesses,,,,,,Grow your business,Coaching & mentoring,,,,Grant,,,Closed,,,,,450000,,https://www.business.qld.gov.au/starting-business/advice-support/grants/social-enterprise,50000,,Eligibility criteria applies - please refer to guidelines,,61032,,,,
DESBT,Micro-Credentialing,,Funding of $5.5 million over three years to pilot micro-credentials for industry to enable them to grow their employee skills and increase  productivity ,Education and training,,,Predetermined recipient/s,,,Employees,,,,,,Coaching & mentoring,,,,,Grant,,,Open,,,,,2777200,,https://desbt.qld.gov.au/,,,,,61033,,,,
DESBT,Creating Your Future Job,,"To determine if self-employment is a viable and valid pathway for those job seekers who are seeking to apply their innovative commercial skills, as well as recognising the importance of fostering those that seek to pursue this pathway.  Supporting these jobseekers can lead to stronger businesses that in turn may lead to further local job creation. ",Education and training,,,Predetermined recipient/s,,,Jobseekers,,,,,,,,,,,Grant,,,Open,,,,,847400,,https://desbt.qld.gov.au/,,,,,61034,,,,
DESBT,Small Business COVID-19 Adaption Grant Program ,Regional,"The objective of this program is to support small businesses subject to closure or highly impacted by the coronavirus (COVID-19) shutdown restrictions announced by the Queensland Government, to adapt and sustain their operations, and build resilience.",Business and industry,,,"Business, startup or entrepreneur",,,Businesses,,,,,,,,,,,Grant,,,Closed,,6/08/2021,,,184740400,,https://www.business.qld.gov.au/starting-business/advice-support/grants/adaption,10000,,"To be eligible, your business must:
•have been subject to closure or otherwise highly impacted by current shutdown restrictions announced by Queensland's Chief Health Officer on 23 March 2020
•have experienced a minimum 30% decline since 23 March 2020, over a minimum 1-month period due to the onset and management of COVID-19
•employ staff and have fewer than 20 employees at the time of applying for the grant (employees must be on your payroll and does not include the business owner(s))
•have a valid Australian Business Number (ABN) active as at 23 March 2020
•be registered for GST
•have a Queensland headquarters
•have an annual turnover over $75,000 for the 2018–19 or 2019–20 financial year, or you can provide financial records that show this will be met for recently started small businesses
•have a payroll of less than $1.3 million
•not be insolvent or have owners or directors that are an undischarged bankrupt.

Only 1 application per round will be accepted from an individual ABN or a financial beneficiary of a business.

Successful applicants from round 1 of this program cannot apply for funding under round 2.

Use the eligibility tool below to find out if your business is eligible to apply.

Read the frequently asked questions for more information regarding eligibility.",You will be notified by email as to the outcome of your application.,61035,,,,
DESBT,Online Infection Control Training Fund,,Australian Government have provided $8.04m funding (matching state appropriation of $8.04m) for infection prevention and control training in customer-facing business to keep safe from COVID-19,Education and training,,,Individual seeking grant or assistance,,,Businesses,,,,,,,,,,,Grant,,,Open,,,,,16080000,,https://desbt.qld.gov.au/training/training-careers/incentives/infection-control,,,,,61036,,,,
DESBT,WAP - Hardship Payment Program,,"Hardship payment of $1,500 is available to eligible Queensland workers who may face financial hardship through enforced quarantine if they contract coronavirus (COVID-19) outside of their workplace.",Employment and jobs,,,Individual seeking grant or assistance,,,Employees,,,,,,,,,,,Grant,,,Open,,,,,1000000,,https://www.qld.gov.au/jobs/entitlements/hardship-payment-covid19,1500,,,,61037,,,,
DESBT,WAP - Jobs Finder Online Training,,"A suite of free, short online training courses to support Queenslanders who are out of work due to COVID -19",Education and training,,,Individual seeking grant or assistance,,,Employees,,,,,,,,,,,Grant,,,Open,,,,,10000000,,https://desbt.qld.gov.au/,,,,,61038,,,,
DESBT,WAP - Online COVID-19 Safe Training ,,"The COVID Safe micro-credentials will provide a deeper understanding of COVID-19, and  help  safeguard yourself, your colleagues and your customers from the virus.",Education and training,,,Individual seeking grant or assistance,,,Employees,,,,,,,,,,,Grant,,,Open,,,,,22240000,,https://desbt.qld.gov.au/,,,,,61039,,,,
